,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score
5613,3k,ring,29,3.36729583,6.326265436,4.53,1.87,1.812,102,90,76,TRUE,TRUE,TRUE,8.138265436
762,3k,build,28,3.33220451,6.36455022,4.45,1.57,1.78,41,100,96,TRUE,TRUE,TRUE,8.14455022
1729,3k,dike,#N/A,#N/A,#N/A,12.47,2.94,4.988,0,6,5,FALSE,TRUE,FALSE,
1731,3k,dill,#N/A,#N/A,#N/A,8.203919,2.71,3.2815676,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
3978,3k,life,47,3.850147602,5.799472029,5.89,3.23,2.356,107,258,398,TRUE,TRUE,TRUE,8.155472029
1734,3k,dime,#N/A,#N/A,#N/A,5.74,2.05,2.296,71,15,12,FALSE,TRUE,FALSE,
1738,3k,din,#N/A,#N/A,#N/A,9,3.63,3.6,0,0,1,FALSE,TRUE,FALSE,
8311,3k,whole,67,4.204692619,5.412661855,6.89,2.71,2.756,114,227,259,TRUE,TRUE,TRUE,8.168661855
1747,3k,dint,#N/A,#N/A,#N/A,9.75,3.59,3.9,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
3022,3k,guess,39,3.663561646,6.003038127,5.44,1.46,2.176,210,225,155,TRUE,TRUE,TRUE,8.179038127
1752,3k,dire,#N/A,#N/A,#N/A,11.63,2.67,4.652,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1753,3k,dirge,#N/A,#N/A,#N/A,14.17,3.07,5.668,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
458,3k,blow,23,3.135494216,6.579162017,4,1.76,1.6,110,61,49,TRUE,TRUE,TRUE,8.179162017
1759,3k,disc,#N/A,#N/A,#N/A,10,4.14,4,0,0,0,FALSE,TRUE,FALSE,
4018,cdi,listen,38,3.63758616,6.031377497,5.4,2.62,2.16,207,198,170,TRUE,TRUE,TRUE,8.191377497
1763,3k,disk,#N/A,#N/A,#N/A,7.47,3.37,2.988,0,0,0,FALSE,TRUE,FALSE,
4817,3k,pants,17,2.833213344,6.908951778,3.2271,1.75,1.29084,54,29,27,TRUE,TRUE,TRUE,8.199791778
6572,lcnl,sneeze,24,3.17805383,6.53272929,4.17,1.58,1.668,2,2,3,TRUE,TRUE,TRUE,8.20072929
3863,3k,late,36,3.583518938,6.090365073,5.28,1.93,2.112,193,197,172,TRUE,TRUE,TRUE,8.202365073
2219,3k,fight,38,3.63758616,6.031377497,5.47,2.06,2.188,85,123,103,TRUE,TRUE,TRUE,8.219377497
5355,3k,quack,35,3.555348061,6.121099624,5.25193,3.59,2.100772,3,4,2,TRUE,TRUE,TRUE,8.221871624
1780,3k,dodge,#N/A,#N/A,#N/A,7.745668,2.45,3.0982672,0,1,2,FALSE,TRUE,FALSE,
1782,3k,doe,#N/A,#N/A,#N/A,7.59647,2.22,3.038588,0,2,4,FALSE,TRUE,FALSE,
1784,lcnl,doff,#N/A,#N/A,#N/A,14.5,4.9,5.8,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
6056,3k,set,46,3.828641396,5.822935393,6,3.03,2.4,254,283,331,TRUE,TRUE,TRUE,8.222935393
1787,unl,doge,#N/A,#N/A,#N/A,13,5.7,5.2,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1790,3k,dole,#N/A,#N/A,#N/A,9.35,3.67,3.74,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2817,3k,god,25,3.218875825,6.488192314,4.346085,2.38,1.738434,27,47,58,TRUE,TRUE,TRUE,8.226626314
1795,lcnl,dolt,#N/A,#N/A,#N/A,11.23,4.51,4.492,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
3431,3k,hurt,22,3.091042453,6.627659085,4,1.45,1.6,213,214,160,TRUE,TRUE,TRUE,8.227659085
5416,3k,quite,77,4.343805422,5.260889175,7.436615,2.54,2.974646,35,138,186,TRUE,TRUE,TRUE,8.235535175
1809,3k,doom,#N/A,#N/A,#N/A,9.42,3.22,3.768,0,0,0,FALSE,TRUE,FALSE,
4782,3k,page,33,3.496507561,6.185294868,5.16,1.8,2.064,52,93,171,TRUE,TRUE,TRUE,8.249294868
5137,3k,pond,33,3.496507561,6.185294868,5.16,1.98,2.064,202,89,61,TRUE,TRUE,TRUE,8.249294868
1817,3k,dork,#N/A,#N/A,#N/A,6.58,3.31,2.632,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1819,3k,dorm,#N/A,#N/A,#N/A,9.89,3.21,3.956,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
8507,3k,yard,21,3.044522438,6.678412627,3.94,1.7,1.576,134,140,105,TRUE,TRUE,TRUE,8.254412627
1824,unl,doss,#N/A,#N/A,#N/A,14.38,2.67,5.752,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
8412,3k,word,25,3.218875825,6.488192314,4.42,1.74,1.768,228,276,311,TRUE,TRUE,TRUE,8.256192314
1827,lcnl,dote,#N/A,#N/A,#N/A,11.47,3.81,4.588,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
6319,3k,six,33,3.496507561,6.185294868,5.25193,1.86,2.100772,151,166,160,TRUE,TRUE,TRUE,8.286066868
1833,unl,douche,#N/A,#N/A,#N/A,13.39,2.4,5.356,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
7700,3k,tooth,18,2.890371758,6.846591697,3.61,1.09,1.444,63,59,23,TRUE,TRUE,TRUE,8.290591697
1837,3k,dour,#N/A,#N/A,#N/A,13.14,3.01,5.256,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1838,3k,douse,#N/A,#N/A,#N/A,12.56,2.89,5.024,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
7303,3k,swim,22,3.091042453,6.627659085,4.17,1.72,1.668,237,115,75,TRUE,TRUE,TRUE,8.295659085
5803,3k,sand,26,3.258096538,6.445402344,4.63,2.31,1.852,135,105,112,TRUE,TRUE,TRUE,8.297402344
1847,unl,dowse,#N/A,#N/A,#N/A,11,2.47,4.4,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
5775,3k,safe,31,3.433987204,6.253504853,5.11,2.65,2.044,124,144,103,TRUE,TRUE,TRUE,8.297504853
1851,3k,drab,#N/A,#N/A,#N/A,11.11,3.02,4.444,0,0,0,FALSE,TRUE,FALSE,
1852,3k,draft,#N/A,#N/A,#N/A,7.58,2.52,3.032,0,3,3,FALSE,TRUE,FALSE,
4303,3k,meet,27,3.295836866,6.40422748,4.74,1.73,1.896,101,129,138,TRUE,TRUE,TRUE,8.30022748
1826,lcnl,dot,23,3.135494216,6.579162017,4.33,1.41,1.732,59,12,7,TRUE,TRUE,TRUE,8.311162017
273,3k,beep,33,3.496507561,6.185294868,5.32,2.38,2.128,#N/A,#N/A,#N/A,TRUE,TRUE,TRUE,8.313294868
1862,3k,dram,#N/A,#N/A,#N/A,13.13,4.31,5.252,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1865,3k,drape,#N/A,#N/A,#N/A,9.11,3.39,3.644,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1868,unl,drat,#N/A,#N/A,#N/A,8.6,2.85,3.44,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1869,3k,draught,#N/A,#N/A,#N/A,12.53,4.58,5.012,0,0,0,FALSE,TRUE,FALSE,
6544,3k,snack,13,2.564949357,7.201628967,2.78,1.22,1.112,13,13,6,TRUE,TRUE,TRUE,8.313628967
1872,3k,drawl,#N/A,#N/A,#N/A,11.17,3.07,4.468,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1877,unl,dray,#N/A,#N/A,#N/A,14.6,4.1,5.84,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
7811,3k,trip,22,3.091042453,6.627659085,4.22,1.9,1.688,117,120,120,TRUE,TRUE,TRUE,8.315659085
4835,3k,past,56,4.025351691,5.608323597,6.78,1.52,2.712,115,159,178,TRUE,TRUE,TRUE,8.320323597
1885,unl,drear,#N/A,#N/A,#N/A,11.92,2.75,4.768,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1886,lcnl,dredge,#N/A,#N/A,#N/A,12.5,2.5,5,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1888,unl,dregs,#N/A,#N/A,#N/A,13.479134,4.87,5.3916536,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1889,lcnl,drench,#N/A,#N/A,#N/A,9.35,2.72,3.74,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
3251,3k,hide,24,3.17805383,6.53272929,4.47,2.14,1.788,178,83,68,TRUE,TRUE,TRUE,8.32072929
7478,lcnl,thanks,17,2.833213344,6.908951778,3.53,1.35,1.412,85,70,47,TRUE,TRUE,TRUE,8.320951778
5045,3k,plate,19,2.944438979,6.78760412,3.84,1.26,1.536,16,50,25,TRUE,TRUE,TRUE,8.32360412
1898,3k,drill,#N/A,#N/A,#N/A,7.14,2.9,2.856,0,8,4,FALSE,TRUE,FALSE,
239,3k,beach,27,3.295836866,6.40422748,4.8,1.54,1.92,82,81,83,TRUE,TRUE,TRUE,8.32422748
1903,3k,drip,#N/A,#N/A,#N/A,5.89,2.35,2.356,30,3,2,FALSE,TRUE,FALSE,
7399,3k,taste,22,3.091042453,6.627659085,4.26,1.76,1.704,42,39,50,TRUE,TRUE,TRUE,8.331659085
1910,unl,droll,#N/A,#N/A,#N/A,13.08,3.35,5.232,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1911,3k,drone,#N/A,#N/A,#N/A,10.11,3.09,4.044,0,1,1,FALSE,TRUE,FALSE,
4574,3k,near,33,3.496507561,6.185294868,5.411785,1.96,2.164714,329,341,380,TRUE,TRUE,TRUE,8.350008868
4498,3k,mud,20,2.995732274,6.731642911,4.05,1.61,1.62,81,86,61,TRUE,TRUE,TRUE,8.351642911
1438,3k,cream,40,3.688879454,5.975416287,5.95,2.48,2.38,94,55,39,TRUE,TRUE,TRUE,8.355416287
1923,3k,dross,#N/A,#N/A,#N/A,17.25,5.47,6.9,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1924,3k,drought,#N/A,#N/A,#N/A,7.94,2.65,3.176,0,0,4,FALSE,TRUE,FALSE,
6651,3k,son,18,2.890371758,6.846591697,3.78,1.26,1.512,124,144,162,TRUE,TRUE,TRUE,8.358591697
3492,3k,jack,57,4.043051268,5.58901328,6.95705,2.91,2.78282,244,165,92,TRUE,TRUE,TRUE,8.37183328
1931,unl,drowse,#N/A,#N/A,#N/A,11.5,3.78,4.6,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1935,unl,drudge,#N/A,#N/A,#N/A,10.65,3.92,4.26,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1937,lcnl,drug,#N/A,#N/A,#N/A,8.11,2.62,3.244,0,3,4,FALSE,TRUE,FALSE,
1355,3k,corn,24,3.17805383,6.53272929,4.61,2.64,1.844,42,85,84,TRUE,TRUE,TRUE,8.37672929
6082,3k,shall,97,4.574710979,5.008970197,8.42,2.57,3.368,62,114,131,TRUE,TRUE,TRUE,8.376970197
963,3k,change,21,3.044522438,6.678412627,4.26,1.66,1.704,137,214,217,TRUE,TRUE,TRUE,8.382412627
217,3k,bat,26,3.258096538,6.445402344,4.85,1.73,1.94,51,32,22,TRUE,TRUE,TRUE,8.385402344
4193,3k,mad,16,2.772588722,6.975093507,3.55,1.5,1.42,154,93,59,TRUE,TRUE,TRUE,8.395093507
1955,3k,duct,#N/A,#N/A,#N/A,10.74,2.86,4.296,0,0,0,FALSE,TRUE,FALSE,
1957,3k,dud,#N/A,#N/A,#N/A,8.55,2.72,3.42,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1958,lcnl,dude,#N/A,#N/A,#N/A,7.89,2.83,3.156,0,1,3,FALSE,TRUE,FALSE,
8329,3k,wide,37,3.610917913,6.060472672,5.84,2.14,2.336,65,111,113,TRUE,TRUE,TRUE,8.396472672
1962,3k,duel,#N/A,#N/A,#N/A,9.45,2.67,3.78,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
3373,3k,hour,37,3.610917913,6.060472672,5.85,1.79,2.34,88,132,146,TRUE,TRUE,TRUE,8.400472672
4365,3k,mind,31,3.433987204,6.253504853,5.37,1.86,2.148,115,271,316,TRUE,TRUE,TRUE,8.401504853
7664,3k,toe,13,2.564949357,7.201628967,3,1.08,1.2,7,13,12,TRUE,TRUE,TRUE,8.401628967
5310,3k,pull,25,3.218875825,6.488192314,4.79,1.93,1.916,116,113,104,TRUE,TRUE,TRUE,8.404192314
684,3k,bright,48,3.871201011,5.776502667,6.58,2.87,2.632,109,139,153,TRUE,TRUE,TRUE,8.408502667
3850,3k,large,35,3.555348061,6.121099624,5.74,2.23,2.296,98,214,408,TRUE,TRUE,TRUE,8.417099624
573,3k,bow,26,3.258096538,6.445402344,4.95,2.22,1.98,15,25,30,TRUE,TRUE,TRUE,8.425402344
1981,3k,dung,#N/A,#N/A,#N/A,11.05,5.41,4.42,0,0,0,FALSE,TRUE,FALSE,
7619,3k,tight,29,3.36729583,6.326265436,5.25193,1.61,2.100772,25,48,58,TRUE,TRUE,TRUE,8.427037436
1988,lcnl,dupe,#N/A,#N/A,#N/A,11.81,2.07,4.724,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2559,3k,fruit,16,2.772588722,6.975093507,3.63,1.71,1.452,32,48,50,TRUE,TRUE,TRUE,8.427093507
1497,3k,cross,24,3.17805383,6.53272929,4.74,1.76,1.896,56,71,82,TRUE,TRUE,TRUE,8.42872929
1997,3k,dwarf,#N/A,#N/A,#N/A,7.65,2.81,3.06,12,6,8,FALSE,TRUE,FALSE,
7626,3k,till,52,3.951243719,5.689175721,6.903765,1.85,2.761506,40,68,69,TRUE,TRUE,TRUE,8.450681721
2006,lcnl,dye,#N/A,#N/A,#N/A,7.56,2.41,3.024,2,2,3,FALSE,TRUE,FALSE,
2009,3k,dyke,#N/A,#N/A,#N/A,13.67,2.91,5.468,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
6178,3k,shirt,15,2.708050201,7.045505317,3.53,1.12,1.412,61,64,51,TRUE,TRUE,TRUE,8.457505317
356,3k,bit,44,3.784189634,5.871432462,6.47,2.55,2.588,117,139,143,TRUE,TRUE,TRUE,8.459432462
2015,3k,earl,#N/A,#N/A,#N/A,10.59,3,4.236,0,8,8,FALSE,TRUE,FALSE,
2017,3k,earn,#N/A,#N/A,#N/A,7.57,2.56,3.028,9,15,26,FALSE,TRUE,FALSE,
8522,3k,year,28,3.33220451,6.36455022,5.24,1.73,2.096,132,260,336,TRUE,TRUE,TRUE,8.46055022
2023,3k,ease,#N/A,#N/A,#N/A,9.11,2.49,3.644,0,1,5,FALSE,TRUE,FALSE,
6678,3k,soup,29,3.36729583,6.326265436,5.37,2.65,2.148,123,58,27,TRUE,TRUE,TRUE,8.474265436
1134,3k,clap,14,2.63905733,7.120776844,3.4,1.73,1.36,26,5,8,TRUE,TRUE,TRUE,8.480776844
2028,unl,eau,#N/A,#N/A,#N/A,14.71,3.4,5.884,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2030,unl,eaves,#N/A,#N/A,#N/A,12.4,4.66,4.96,0,0,1,FALSE,TRUE,FALSE,
2031,3k,ebb,#N/A,#N/A,#N/A,11.12,3.69,4.448,0,0,0,FALSE,TRUE,FALSE,
7082,3k,store,23,3.135494216,6.579162017,4.76,1.92,1.904,333,225,192,TRUE,TRUE,TRUE,8.483162017
2039,3k,eel,#N/A,#N/A,#N/A,6.47,2.2,2.588,0,7,4,FALSE,TRUE,FALSE,
1378,3k,course,59,4.077537444,5.551388711,7.340702,1.96,2.9362808,92,203,278,TRUE,TRUE,TRUE,8.487669511
5500,3k,reach,24,3.17805383,6.53272929,4.89,2.79,1.956,67,73,95,TRUE,TRUE,TRUE,8.48872929
8470,3k,write,24,3.17805383,6.53272929,4.89,1.64,1.956,276,246,221,TRUE,TRUE,TRUE,8.48872929
2051,unl,eke,#N/A,#N/A,#N/A,13.5,4.31,5.4,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
3693,3k,kid,19,2.944438979,6.78760412,4.28,1.56,1.712,107,109,74,TRUE,TRUE,TRUE,8.49960412
4324,3k,mess,19,2.944438979,6.78760412,4.28,1.45,1.712,72,45,23,TRUE,TRUE,TRUE,8.49960412
554,3k,born,22,3.091042453,6.627659085,4.68,1.97,1.872,30,95,119,TRUE,TRUE,TRUE,8.499659085
2059,3k,elm,#N/A,#N/A,#N/A,9.06,4.35,3.624,1,1,3,FALSE,TRUE,FALSE,
8340,3k,wild,37,3.610917913,6.060472672,6.11,2.51,2.444,55,101,122,TRUE,TRUE,TRUE,8.504472672
2137,3k,fat,26,3.258096538,6.445402344,5.15,1.84,2.06,134,88,75,TRUE,TRUE,TRUE,8.505402344
2069,lcnl,erg,#N/A,#N/A,#N/A,15.88,4.39,6.352,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2071,3k,err,#N/A,#N/A,#N/A,13.06,2.77,5.224,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2075,lcnl,etch,#N/A,#N/A,#N/A,8.06,2.67,3.224,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
75,3k,arm,13,2.564949357,7.201628967,3.26,1.56,1.304,180,189,161,TRUE,TRUE,TRUE,8.505628967
2079,3k,ewe,#N/A,#N/A,#N/A,9.31,4.29,3.724,0,0,1,FALSE,TRUE,FALSE,
2081,unl,ex,#N/A,#N/A,#N/A,8.74,3.9,3.496,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
3433,3k,hush,20,2.995732274,6.731642911,4.441998,1.88,1.7767992,6,13,8,TRUE,TRUE,TRUE,8.508442111
4345,3k,mike,47,3.850147602,5.799472029,6.775881,2.99,2.7103524,445,175,64,TRUE,TRUE,TRUE,8.509824429
2184,3k,fence,39,3.663561646,6.003038127,6.28,3.36,2.512,85,96,71,TRUE,TRUE,TRUE,8.515038127
4825,3k,park,20,2.995732274,6.731642911,4.47,1.87,1.788,231,126,104,TRUE,TRUE,TRUE,8.519642911
2093,3k,fad,#N/A,#N/A,#N/A,10.25,2.97,4.1,0,3,1,FALSE,TRUE,FALSE,
3508,3k,jam,43,3.761200116,5.896514127,6.56,4,2.624,23,20,11,TRUE,TRUE,TRUE,8.520514127
2097,lcnl,fag,#N/A,#N/A,#N/A,9.72,3.01,3.888,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1069,3k,choose,22,3.091042453,6.627659085,4.74,1.79,1.896,12,51,60,TRUE,TRUE,TRUE,8.523659085
1185,3k,climb,27,3.295836866,6.40422748,5.3,2.05,2.12,123,89,60,TRUE,TRUE,TRUE,8.52422748
6847,3k,spring,29,3.36729583,6.326265436,5.5,2.15,2.2,129,131,153,TRUE,TRUE,TRUE,8.526265436
2106,unl,faire,#N/A,#N/A,#N/A,10.62,3.07,4.248,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2108,unl,fait,#N/A,#N/A,#N/A,16,2.29,6.4,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2109,3k,faith,#N/A,#N/A,#N/A,7.62,3.31,3.048,0,4,7,FALSE,TRUE,FALSE,
2111,3k,fake,#N/A,#N/A,#N/A,5.83,2.26,2.332,0,5,5,FALSE,TRUE,FALSE,
190,3k,barn,20,2.995732274,6.731642911,4.5,1.62,1.8,50,81,79,TRUE,TRUE,TRUE,8.531642911
2117,3k,FALSE,#N/A,#N/A,#N/A,6.722596,2.15,2.6890384,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
7796,3k,trick,35,3.555348061,6.121099624,6.05,2.99,2.42,112,50,30,TRUE,TRUE,TRUE,8.541099624
2119,unl,famed,#N/A,#N/A,#N/A,9.89,1.91,3.956,0,0,0,FALSE,TRUE,FALSE,
2047,3k,eight,27,3.295836866,6.40422748,5.3585,1.72,2.1434,60,73,85,TRUE,TRUE,TRUE,8.54762748
2121,3k,fang,#N/A,#N/A,#N/A,8.47,3.01,3.388,53,20,0,FALSE,TRUE,FALSE,
2624,3k,game,18,2.890371758,6.846591697,4.26,1.82,1.704,337,201,161,TRUE,TRUE,TRUE,8.550591697
2126,3k,farce,#N/A,#N/A,#N/A,12.12,2.99,4.848,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
3684,3k,key,14,2.63905733,7.120776844,3.58,1.54,1.432,115,65,46,TRUE,TRUE,TRUE,8.552776844
4839,3k,pat,24,3.17805383,6.53272929,5.070761,2.12,2.0283044,296,52,17,TRUE,TRUE,TRUE,8.56103369
2133,lcnl,fart,#N/A,#N/A,#N/A,5.78,2.34,2.312,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
7069,3k,stone,19,2.944438979,6.78760412,4.44,1.2,1.776,115,110,115,TRUE,TRUE,TRUE,8.56360412
6211,3k,shout,21,3.044522438,6.678412627,4.72,1.49,1.888,28,38,31,TRUE,TRUE,TRUE,8.566412627
6529,3k,smoke,16,2.772588722,6.975093507,4,1.5,1.6,52,101,91,TRUE,TRUE,TRUE,8.575093507
2745,3k,glass,19,2.944438979,6.78760412,4.47,1.65,1.788,97,111,115,TRUE,TRUE,TRUE,8.57560412
2144,lcnl,faun,#N/A,#N/A,#N/A,13.72,4.69,5.488,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2147,unl,faux,#N/A,#N/A,#N/A,13.25,3.67,5.3,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2148,3k,fawn,#N/A,#N/A,#N/A,8.4,3.35,3.36,0,4,5,FALSE,TRUE,FALSE,
2151,unl,fax,#N/A,#N/A,#N/A,9.68,3.31,3.872,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2153,3k,faze,#N/A,#N/A,#N/A,10.81,3.85,4.324,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
7770,3k,trash,19,2.944438979,6.78760412,4.47,1.78,1.788,16,17,21,TRUE,TRUE,TRUE,8.57560412
612,3k,branch,24,3.17805383,6.53272929,5.11,2.11,2.044,54,59,48,TRUE,TRUE,TRUE,8.57672929
2161,3k,feat,#N/A,#N/A,#N/A,11.26,4.04,4.504,0,0,1,FALSE,TRUE,FALSE,
3764,3k,knock,20,2.995732274,6.731642911,4.63,2.06,1.852,20,28,32,TRUE,TRUE,TRUE,8.583642911
2239,3k,fine,56,4.025351691,5.608323597,7.44,2.68,2.976,223,212,177,TRUE,TRUE,TRUE,8.584323597
2130,3k,farm,15,2.708050201,7.045505317,3.85,1.5,1.54,161,138,122,TRUE,TRUE,TRUE,8.585505317
4855,3k,paw,31,3.433987204,6.253504853,5.89,2.95,2.356,38,28,18,TRUE,TRUE,TRUE,8.609504853
2172,lcnl,feign,#N/A,#N/A,#N/A,13.93,3.35,5.572,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2175,3k,feint,#N/A,#N/A,#N/A,12.73,2.72,5.092,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
5395,3k,quick,31,3.433987204,6.253504853,5.89,2.16,2.356,61,82,77,TRUE,TRUE,TRUE,8.609504853
7587,3k,thumb,18,2.890371758,6.846591697,4.42,2.36,1.768,15,19,13,TRUE,TRUE,TRUE,8.614591697
2182,unl,femme,#N/A,#N/A,#N/A,13.71,3.04,5.484,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2183,3k,fen,#N/A,#N/A,#N/A,16.64,4.52,6.656,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2813,3k,goat,24,3.17805383,6.53272929,5.21,2.07,2.084,70,52,33,TRUE,TRUE,TRUE,8.61672929
2186,lcnl,fend,#N/A,#N/A,#N/A,10.18,2.1,4.072,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2188,3k,fern,#N/A,#N/A,#N/A,8.67,3.54,3.468,0,2,7,FALSE,TRUE,FALSE,
2190,unl,fest,#N/A,#N/A,#N/A,9.88,2.75,3.952,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
6551,3k,snake,23,3.135494216,6.579162017,5.1,2.47,2.04,123,96,57,TRUE,TRUE,TRUE,8.619162017
2193,3k,fete,#N/A,#N/A,#N/A,14.46,3.91,5.784,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2195,3k,feud,#N/A,#N/A,#N/A,10.33,2.77,4.132,0,0,0,FALSE,TRUE,FALSE,
3831,3k,land,24,3.17805383,6.53272929,5.22,2.69,2.088,194,248,315,TRUE,TRUE,TRUE,8.62072929
2201,lcnl,fib,#N/A,#N/A,#N/A,6.5,2.57,2.6,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2204,3k,fiche,#N/A,#N/A,#N/A,14.17,3.56,5.668,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
2207,unl,fief,#N/A,#N/A,#N/A,12.67,2.42,5.068,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
3969,3k,lie,14,2.63905733,7.120776844,3.75,0.91,1.5,35,57,55,TRUE,TRUE,TRUE,8.620776844
2211,3k,fiend,#N/A,#N/A,#N/A,10.39,2.81,4.156,0,0,0,FALSE,TRUE,FALSE,
5691,3k,rope,26,3.258096538,6.445402344,5.44,2.09,2.176,133,109,93,TRUE,TRUE,TRUE,8.621402344
4830,3k,part,23,3.135494216,6.579162017,5.11,1.15,2.044,219,323,508,TRUE,TRUE,TRUE,8.623162017
4865,3k,pea,15,2.708050201,7.045505317,3.95,1.68,1.58,15,10,6,TRUE,TRUE,TRUE,8.625505317
2218,3k,fig,#N/A,#N/A,#N/A,8.06,2.82,3.224,1,1,2,FALSE,TRUE,FALSE,
4961,3k,piece,21,3.044522438,6.678412627,4.89,1.7,1.956,114,155,174,TRUE,TRUE,TRUE,8.634412627
3870,3k,laugh,14,2.63905733,7.120776844,3.79,1.51,1.516,163,126,78,TRUE,TRUE,TRUE,8.636776844
2156,3k,fear,20,2.995732274,6.731642911,4.79,1.93,1.916,15,46,75,TRUE,TRUE,TRUE,8.647642911
2230,3k,film,#N/A,#N/A,#N/A,6.95,2.57,2.78,2,12,18,FALSE,TRUE,FALSE,
2233,3k,filth,#N/A,#N/A,#N/A,7.45,2.82,2.98,0,0,0,FALSE,TRUE,FALSE,
3880,3k,lay,29,3.36729583,6.326265436,5.838065,2.01,2.335226,83,173,196,TRUE,TRUE,TRUE,8.661491436
1037,3k,chin,16,2.772588722,6.975093507,4.22,4.1,1.688,26,24,28,TRUE,TRUE,TRUE,8.663093507
2509,3k,free,23,3.135494216,6.579162017,5.21,1.78,2.084,92,116,120,TRUE,TRUE,TRUE,8.663162017
1017,3k,chew,15,2.708050201,7.045505317,4.05,1.51,1.62,7,11,12,TRUE,TRUE,TRUE,8.665505317
3356,3k,horn,20,2.995732274,6.731642911,4.84,1.01,1.936,16,27,23,TRUE,TRUE,TRUE,8.667642911
3096,3k,half,25,3.218875825,6.488192314,5.454413,1.77,2.1817652,77,188,251,TRUE,TRUE,TRUE,8.669957514
7519,3k,third,18,2.890371758,6.846591697,4.580539,1.93,1.8322156,53,98,105,TRUE,TRUE,TRUE,8.678807297
5580,3k,rice,13,2.564949357,7.201628967,3.72,1.41,1.488,19,37,31,TRUE,TRUE,TRUE,8.689628967
5126,3k,pole,26,3.258096538,6.445402344,5.63,2.83,2.252,34,60,70,TRUE,TRUE,TRUE,8.697402344
2257,lcnl,firth,#N/A,#N/A,#N/A,12.33,5.2,4.932,#N/A,#N/A,#N/A,FALSE,TRUE,FALSE,
1994,3k,dust,21,3.044522438,6.678412627,5.06,1.39,2.024,36,61,66,TRUE,TRUE,TRUE,8.702412627
